name,country,population,coordinates
Lebowakgomo,South Africa,33308,"-24.1996,29.5"
Potchefstroom,South Africa,123669,"-26.6996,27.1"
Graaff Reinet,South Africa,62896,"-32.3,24.54"
Rustenburg,South Africa,165976,"-25.65,27.24"
Brandfort,South Africa,12091,"-28.6996,26.47"
Vryheid,South Africa,150012,"-27.76,30.79"
Vereeniging,South Africa,1074000,"-26.6496,27.96"
Brits,South Africa,122497,"-25.6296,27.78"
Bethlehem,South Africa,83654,"-28.2196,28.3"
Ubomba,South Africa,564,"-27.5661,32.0833"
Polokwane,South Africa,220045,"-23.89,29.45"
Springbok,South Africa,10438,"-29.6667,17.8833"
Thohoyandou,South Africa,269707,"-22.95,30.48"
Pietermaritzburg,South Africa,750845,"-29.61,30.39"
Poffader,South Africa,4220,"-29.1329,19.3834"
Carnarvon,South Africa,5785,"-30.9496,22.1333"
Kroonstad,South Africa,103992,"-27.66,27.21"
Alexander Bay,South Africa,1500,"-28.6083,16.5033"
Bloemhof,South Africa,17122,"-27.6496,25.59"
Hermanus,South Africa,25153,"-34.4096,19.2299"
Bethal,South Africa,101919,"-26.4696,29.45"
Upington,South Africa,71373,"-28.46,21.23"
Tzaneen,South Africa,67245,"-23.8195,30.17"
Vanhynsdorp,South Africa,3331,"-31.6166,18.7333"
Kimberley,South Africa,165264,"-28.7468,24.77"
Durban,South Africa,2729000,"-29.865,30.98"
Klerksdorp,South Africa,178921,"-26.88,26.62"
Welkom,South Africa,431944,"-27.97,26.73"
De Aar,South Africa,32318,"-30.65,24"
Prieska,South Africa,11236,"-29.6595,22.73"
Saldanha,South Africa,68284,"-33.01,17.93"
Middelburg,South Africa,18164,"-31.5,25.01"
Port St. Johns,South Africa,5939,"-31.6279,29.5283"
Volksrust,South Africa,43378,"-27.3596,29.89"
Ulundi,South Africa,20753,"-28.3296,31.41"
Beaufort West,South Africa,44737,"-32.3496,22.57"
Komatipoort,South Africa,20508,"-25.4096,31.94"
Nelspruit,South Africa,,"-25.4745,30.9703"
Standerton,South Africa,74021,"-26.9395,29.24"
Johannesburg,South Africa,3435000,"-26.17,28.03"
Kuruman,South Africa,10006,"-27.4496,23.42"
Paarl,South Africa,187865,"-33.6996,18.96"
Worcester,South Africa,127597,"-33.64,19.4399"
Colesberg,South Africa,12423,"-30.7195,25.1"
Umtata,South Africa,137772,"-31.58,28.79"
Aliwal North,South Africa,44436,"-30.6896,26.71"
